"","X","ID","Name","Rating","Price","Reviewer","Review_date","word"
"1",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","magnificently"
"1.1",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","powerful"
"1.3",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","intense"
"1.4",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","caramels"
"1.5",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","dried"
"1.6",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","peats"
"1.7",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","elegant"
"1.8",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","cigar"
"1.9",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","smoke"
"1.10",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","seeds"
"1.11",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","scraped"
"1.13",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","vanilla"
"1.14",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","beans"
"1.15",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","brand"
"1.17",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","pencils"
"1.18",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","peppercorn"
"1.19",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","coriander"
"1.20",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","seeds"
"1.22",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","star"
"1.23",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","anise"
"1.27",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","deeply"
"1.28",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","satisfying"
"1.29",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","nosing"
"1.30",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","experience"
"1.31",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","silky"
"1.32",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","caramels"
"1.33",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","bountiful"
"1.34",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","fruits"
"1.36",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","ripe"
"1.37",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","peach"
"1.38",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","stewed"
"1.39",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","apple"
"1.40",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","orange"
"1.41",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","pith"
"1.43",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","pervasive"
"1.44",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","smoke"
"1.46",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","elements"
"1.48",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","burnt"
"1.49",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","tobacco"
"1.51",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","abiding"
"1.52",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","finish"
"1.54",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","smoke"
"1.55",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","dry"
"1.56",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","spices"
"1.58",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","banoffee"
"1.59",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","pie"
"1.60",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","sweetness"
"1.61",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","close"
"1.63",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","perfection"
"1.64",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","editor's"
"1.65",1,1,"Johnnie Walker Blue Label, 40%",97,"225","Jonny McCormick","Spring 2018","choice"
"2.1",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","you’d"
"2.2",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","expect"
"2.3",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","solid"
"2.4",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","peat"
"2.12",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","glass"
"2.15",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","isn’t"
"2.18",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","peat"
"2.19",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","beast"
"2.20",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","underneath"
"2.22",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","honey"
"2.23",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","dried"
"2.24",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","fruit"
"2.26",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","malt"
"2.28",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","palate"
"2.32",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","balance"
"2.34",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","honeyed"
"2.35",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","malt"
"2.36",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","raisin"
"2.38",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","oak"
"2.39",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","spice"
"2.41",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","complementing"
"2.42",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","smoky"
"2.43",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","peat"
"2.45",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","lush"
"2.46",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","mouthfeel"
"2.47",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","makes"
"2.49",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","forget"
"2.50",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","it’s"
"2.51",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","cask"
"2.52",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","strength"
"2.54",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","pure"
"2.55",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","love"
"2.56",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","note"
"2.59",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","glass"
"2.61",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","compass"
"2.62",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","box"
"2.64",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","park"
"2.65",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","avenue"
"2.66",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","liquor"
"2.67",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","park"
"2.68",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","avenue"
"2.69",2,2,"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",95,"120","Geoffrey Kleinman","Summer 2014","liquor"
"3.3",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","gambled"
"3.6",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","drop"
"3.7",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","1960"
"3.8",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","liquid"
"3.11",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","sherry"
"3.12",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","wood"
"3.18",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","indulgent"
"3.19",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","nose"
"3.20",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","proffers"
"3.21",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","maple"
"3.22",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","syrup"
"3.23",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","buckwheat"
"3.24",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","honey"
"3.25",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","roasted"
"3.26",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","spices"
"3.27",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","blue"
"3.28",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","grapes"
"3.29",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","pomegranate"
"3.30",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","raspberry"
"3.31",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","compote"
"3.32",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","cilantro"
"3.33",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","pandan"
"3.34",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","leaf"
"3.36",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","beefsteak"
"3.37",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","juices"
"3.38",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","soaking"
"3.40",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","mushroom"
"3.41",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","gills"
"3.43",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","complex"
"3.44",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","lustrous"
"3.45",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","mouthfeel"
"3.47",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","replete"
"3.50",3,3,"The Last Drop 50 year old, 50.9%",95,"4000","Jonny McCormick","Summer 2014","sheen"
