,reviews
1,"Magnificently powerful and intense. Caramels, dried peats, elegant cigar smoke, seeds scraped from vanilla beans, brand new pencils, peppercorn, coriander seeds, and star anise make for a deeply satisfying nosing experience. Silky caramels, bountiful fruits of ripe peach, stewed apple, orange pith, and pervasive smoke with elements of burnt tobacco. An abiding finish of smoke, dry spices, and banoffee pie sweetness. Close to perfection. Editor's Choice"
2,"As you’d expect, solid peat is the first thing out of the glass, but this isn’t just a peat beast. Underneath are honey, dried fruit, and malt. The palate is all about balance, with honeyed malt, raisin, and oak spice all complementing smoky peat. A lush mouthfeel makes you forget it’s cask strength. A pure love note in a glass from Compass Box to Park Avenue Liquor.  (Park Avenue Liquor only)"
3,"Would you have gambled The Last Drop 1960 liquid in new sherry wood for four more years? The indulgent nose proffers maple syrup, buckwheat honey, roasted spices, blue grapes, pomegranate, raspberry compote, cilantro, pandan leaf, and beefsteak juices soaking into mushroom gills. The complex, lustrous mouthfeel is replete with a sheen of rich maltiness, molasses lashed by sherry before a dry, resinous finish. Water brings an oily nuttiness, then further drops produce a silky, clingy texture. Glorious. Miraculous. Victorious. (388 bottles only)"
4,"An essay in balance on both the aroma and palate. Silky layers of delicate sweetness (honeyed vanilla, caramel, light toffee) permeate through clean, delicate fruit (citrus, peach, currant), and subtle, complex dried spice. Clean finish, with a hint of dark chocolate. A very versatile, very drinkable blend which suits most moods and occasions. Indeed, a benchmark blended scotch. 
"
5,"Formulated to celebrate the 200th anniversary of Johnnie Walker. This is a fabulous whisky for anyone who can spring for the bottle. It is deep, dark, and quite powerful with a hefty malt foundation and sweeter notes of toffee and vanilla combined with resinous oak, complex fruit (both bright citrus notes and darker pit fruits), crisp mint, tobacco, polished leather, and heavy peat smoke. A tour de force of a blended scotch-as big as many single malts reviewed here. 
"
6,"Fresh spring floral bouquets, white peach, and nectarine tumble with sweet caramel, dried cherry, white chocolate, fresh linen notes, and vanilla cake batter. Silky smooth with fresh summer fruits, the strong peppery spices push to the fore, but this is nimble, graceful, and displays a real lightness. Compelling, captivating blending for the Flask Collection by Sandy Hyslop, this has a fragrance you could enjoy all night."
7,"A 12 year old blended whisky was created in 1972 consisting of 70 different malt whiskies and 12 grain whiskies.  The blend was then placed in three sherry casks, where it was matured for the next 36 years (highly irregular, to say the least).  The quality of the sherry casks is quite evident, as is the whisky's age.  There's substantial malt content here, too.  These three factors, along with the wide range of malt and grain whiskies, combine to create one of the finest blended Scotch whiskies I have ever tasted.  It's dark, mysterious, and enormously complex, with notes of molasses, fig cake, dried fruit, tobacco, dark chocolate, old pot still rum, and polished leather, finishing with lingering cinnamon and mint.  There's no sign of this whisky getting tired at all.  I am pleased they bottled it at natural strength and didn't water it down to 40% or 43% abv, which could have ruined it.
(Allocation information:  There's a total of 1.347 bottles, of which only 350 are being imported to the U.S.  They are available exclusively at Binny's Beverage Depot (Chicago), Park Avenue Liquors (New York), and Wally's (Los Angeles))."
8,"A spectacular citrus nose with incredible freshness; neroli oil, bergamot orange, an array of wood spices, baked apricot, dried strawberry, heather, lavender, honeysuckle, jasmine, and hyacinth. An intense array of citrus on the palate—the strongest being mandarin, it is thick-textured yet agile—accompanied by baked brioche, Ling heather honey, vanilla, and oak, with a hint of eucalyptus on the extraordinarily long finish. A masterclass in rare whisky blending."
9,"Highland toffee, dried banana, salted caramel, seashells flipped from rock pools, and crispy-skinned oily fish barbecuing over a fire. Sweet toffee meets cinnamon, pepper, and clove, as an express train of smoke clatters through, leaving intense citrus peel oils and green fruits in the backwash. A spasm of spice marks the finish: arid, amid baked fruits and toffee. Leave me now, I have everything I need."
10,"This uninhibited, tempestuous expression of Blue Label highlights the artistry of the blender through the judicious use of closed distillery malts and grains. Coastal notes of sea spray, lemon, dirty peat smoke, cookies and cream, After Eight mints, caramel, and dry-roasted spice aromas. Combining lemon bonbon, waxy orange, cookie dough, fondant icing, and chocolate, with tobacco smoke, hints of peppermint, and grapefruit notes, this flagrantly outclasses the Brora variant."
11,"You don't mess with the Johnnie Walker brand name casually, so we expect greatness, and boy, do we get it here. This has a dusty, smoky nose with dried apricot and grape, and the whisky is gossamer-soft on the palate, with sweet pear and honey evolving on top of an oaky rich heart before a tidal wave of pepper and peat, and a delightful spice smoke and oak conclusion. Magnificent. "
12,"The pinnacle of the current Johnnie Walker range, this is a rare, inimitable blend of just nine whiskies. It exudes the aromas of ripe bananitos, whole mango, satsuma, vanilla seeds, barley awns, butter biscuits, and crystallized pineapple. The supple grain sustains indulgent, characterful malts creating a weighty, smooth mouthfeel. I’m smitten by the vanilla creaminess, burgeoning deep fruit layers, how it swells with a satisfying snuffbox smokiness. A beautifully styled blend delivering a captivating, sensuous experience. (330 bottles only)"
13,"Named after the gun rounds fired on Royal anniversaries at the Tower of London. Heightened sherry tones with dark Madagascar chocolate, Brazil nut, fondant cream, and faint espresso indulge the nose. One heavenly sip reveals a velvety smooth whisky, thick and sticky, all revolving around the chocolate and nut, with a little support from dark fruits. You can chew over this for hours as the finish soft-pedals the main themes. A work of genius."
14,"The nose has honey, caramelized apples, Pixy Stix, pears in cream, faint pepper, ground coriander, and salty driftwood. It’s teeth-coating with golden syrup sugariness, the silky texture meting out pears, apples, sweet barley notes, and crunchy spices, before a vanilla phase gives way to black pepper, licorice, and smoke. Mouth-numbing finish of long-active spices over vanilla. (7,908 bottles)"
15,"Drier than the 12 year old (reviewed below), with some darker fruit (black raspberry, blueberry) marrying with the brighter orchard fruit.  Sweet up front - honey and caramel - with a peppering of spice (dried vanilla, clove, and cinnamon) increasing as the palate develops.  Dry, oak spice finish.  Lovely! 
"
16,"Master blender Stephanie Macleod’s innovative blend was inspired by Dewar’s famous double aging process. She separately blended parcels of aged malt and grain whisky, left each to marry, then blended them together to marry again, before finishing in oloroso sherry casks. A tantalizing nose of chocolate, caramel, vanilla, crystalized orange slice, fresh plum, black cherry, and moist coffee grounds. Smooth flavors of chocolate-dipped raspberries, gingersnaps, and bold sherry fruit yield to a finish of smoke and spice. By releasing in novel half-bottles, Dewar’s spreads the love, enabling us to experience a 21 year old scotch for just 50 bucks. Number 2 in the 2019 Top 20 "
